fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.057,other,20.0,0.23,1.09,0.1,0.36,177,actual,771,actual,0.75,2,1,2,1,1,0,1,499871,10040,1013943,11816285,1400,14456,9599,983,0.72,1260,948,177,0.66,1272,9460350,4130029,3724833,2021-09-03,https://covidactnow.org/us/maryland-md,0.683,0.616,16,7614991,3
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.05,other,23.5,0.05,1.24,0.11,0.45,58,actual,197,actual,0.78,2,1,2,2,2,0,1,76913,937,68982,2486231,86,3847,2453,173,0.63,325,255,58,0.7246753246750001,624,2039500,965089,887309,2021-09-03,https://covidactnow.org/us/maine-me,0.718,0.66,3,1748970,3
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.085,other,22.1,0.09,1.11,0.1,0.4,336,actual,1667,actual,0.8,2,1,2,2,2,0,1,1064115,21603,1149123,14327721,1000,27031,18689,1246,0.61,2516,2003,336,0.776520051746,114,12951770,5530746,5057861,2021-09-03,https://covidactnow.org/us/michigan-mi,0.554,0.506,0,10219092,3
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.071,other,27.9,0.13,1.14,0.1,0.46,169,actual,575,actual,0.79,3,1,3,1,2,0,1,653381,7932,967101,13163617,1028,17693,8262,736,0.6,946,744,169,0.532017075774,1900,7356810,3494658,3163850,2021-09-03,https://covidactnow.org/us/minnesota-mn,0.62,0.561,22,6403934,3
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.116,other,37.0,0.01,0.96,0.1,0.77,622,actual,1060,actual,0.9,3,2,3,2,1,3,3,780322,11315,814642,6622890,94,26185,14412,2176,0.62,1873,1682,622,0.689096797409,2777,7402975,3243829,2779556,2021-09-03,https://covidactnow.org/us/missouri-mo,0.529,0.453,12,5972539,3
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,2.4,,,,,,,,,,1,4,1,4,4,4,4,241,2,478,51861,10,,,,,,,,,0,79080,35034,32556,2021-09-03,https://covidactnow.org/us/northern_mariana_islands-mp,0.654,0.607,0,67033,1
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.188,other,95.6,0.01,0.96,0.1,0.89,501,actual,328,actual,0.93,5,2,5,2,1,3,3,443511,8507,209263,1498210,200,14398,6042,1607,0.51,889,829,501,0.807865168539,3850,3509735,1401581,1144438,2021-09-03,https://covidactnow.org/us/mississippi-ms,0.471,0.385,17,2495829,3
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.131,other,52.5,0.07,1.22,0.1,0.5,74,actual,91,actual,0.69,3,2,3,2,2,0,0,128955,1807,157106,1219487,200,3639,2172,288,0.57,238,165,74,0.61,739,1260985,560234,493329,2021-09-03,https://covidactnow.org/us/montana-mt,0.524,0.462,4,1026579,3
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.132,other,63.8,0.04,1.11,0.1,0.76,961,actual,1148,actual,0.87,3,2,3,2,2,3,3,1225376,14642,1205859,12616849,1215,29396,18819,3713,0.64,2413,2109,961,0.77562210038,7468,13431040,5871131,4883485,2021-09-03,https://covidactnow.org/us/north_carolina-nc,0.56,0.466,96,10525501,3
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.089,other,46.3,0.28,1.25,0.1,0.4,50,actual,80,actual,0.64,3,1,3,1,2,0,0,118523,1594,104079,1631015,500,3991,2660,246,0.55,204,130,50,0.67,536,852850,368945,318810,2021-09-03,https://covidactnow.org/us/north_dakota-nd,0.484,0.418,1,700560,3
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.168,other,40.0,0.26,1.2,0.1,0.5,115,actual,288,actual,0.78,3,2,3,1,2,0,1,246218,2599,271737,1896522,1000,7482,3202,380,0.53,518,403,115,0.638330757342,1107,2383620,1115417,1011269,2021-09-03,https://covidactnow.org/us/nebraska-ne,0.577,0.523,5,2074696,3
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.043,other,22.2,0.09,1.14,0.1,0.27,35,actual,143,actual,0.66,2,1,2,2,2,0,0,108319,1421,89224,2195923,140,3472,2463,131,0.68,271,178,35,0.56,298,2036690,913478,812490,2021-09-03,https://covidactnow.org/us/new_hampshire-nh,0.672,0.598,1,1687622,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.059,other,23.9,0.28,1.06,0.1,0.11,193,actual,1175,actual,0.46,2,1,2,1,1,0,0,1096791,26919,1084864,15315947,3000,30568,17280,1109,0.69,2943,1368,193,0.176470588235,2542,13132355,6232544,5479015,2021-09-03,https://covidactnow.org/us/new_jersey-nj,0.702,0.617,17,11050405,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.081,other,40.3,0.09,1.07,0.1,0.77,165,actual,243,actual,0.89,3,1,3,2,1,3,3,234475,4546,256214,3055722,375,5482,3203,459,0.59,456,408,165,0.59,988,2735075,1471388,1262474,2021-09-03,https://covidactnow.org/us/new_mexico-nm,0.702,0.602,15,2654443,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.127,other,36.7,0.11,1.04,0.1,0.67,267,actual,460,actual,0.85,3,2,3,1,1,2,2,393188,6565,512567,3419862,600,9585,6756,1176,0.68,860,727,267,0.79,1136,3738020,1792453,1480400,2021-09-03,https://covidactnow.org/us/nevada-nv,0.582,0.481,26,3219810,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.042,other,24.9,0.4,1.03,0.1,0.24,519,actual,2924,actual,0.68,2,1,2,1,1,0,0,2285643,53925,2556216,50369327,9620,62862,39176,2819,0.74,5064,3443,519,0.63,5289,27631465,13167980,11754776,2021-09-03,https://covidactnow.org/us/new_york-ny,0.677,0.604,50,24491810,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.103,other,45.5,0.06,1.24,0.1,0.43,757,actual,2303,actual,0.76,3,2,3,2,2,0,1,1235089,20866,1063261,13497034,1659,48487,24446,2947,0.61,4051,3060,757,0.732111692845,7087,14088925,6145359,5667784,2021-09-03,https://covidactnow.org/us/ohio-oh,0.526,0.485,0,11654346,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.203,other,67.5,0.05,1.1,0.1,0.8,428,actual,455,actual,0.89,3,3,3,2,1,3,3,557770,8001,553889,2173083,700,15316,7846,1619,0.55,990,883,428,0.8300653594769999,3274,4731970,2123203,1747709,2021-09-03,https://covidactnow.org/us/oklahoma-ok,0.537,0.442,0,3859158,3
